ano,mes,data,regiao,uf,bioma,focos_queimada,temperatura_media,chuva_mm,area_atingida_km2,indice_seca,qualidade_ar,nivel_risco
2015,1,2015-01-01,Norte,AM,Cerrado,43,29.6,40.9,29.62,0.46,65.6,Alto
2015,1,2015-01-01,Norte,PA,Cerrado,49,30.3,27.7,5.25,0.71,60.8,Alto
2015,1,2015-01-01,Norte,RO,Pampa,19,31.6,43.5,7.35,0.56,84.8,Médio
2015,1,2015-01-01,Norte,TO,Pampa,16,26.9,139.0,7.17,0.46,87.2,Médio
2015,1,2015-01-01,Nordeste,BA,Mata Atlântica,6,28.4,105.9,3.07,0.14,95.2,Baixo
2015,1,2015-01-01,Nordeste,PE,Pampa,10,26.8,88.5,1.66,0.27,92.0,Médio
2015,1,2015-01-01,Nordeste,CE,Pantanal,8,26.0,70.2,2.57,0.19,93.6,Baixo
2015,1,2015-01-01,Nordeste,MA,Pantanal,15,26.7,92.1,3.24,0.28,88.0,Médio
2015,1,2015-01-01,Nordeste,PB,Caatinga,20,26.6,54.9,5.72,0.6,84.0,Médio
2015,1,2015-01-01,Centro-Oeste,DF,Pantanal,12,31.0,29.7,2.28,0.43,90.4,Médio
2015,1,2015-01-01,Centro-Oeste,GO,Amazônia,35,29.8,39.7,14.57,0.56,72.0,Alto
2015,1,2015-01-01,Centro-Oeste,MT,Caatinga,9,28.8,46.8,3.47,0.22,92.8,Baixo
2015,1,2015-01-01,Centro-Oeste,MS,Mata Atlântica,7,24.5,61.3,1.54,0.29,94.4,Baixo
2015,1,2015-01-01,Sudeste,SP,Mata Atlântica,21,29.4,55.6,13.15,0.39,83.2,Médio
2015,1,2015-01-01,Sudeste,RJ,Cerrado,43,28.2,17.0,28.21,0.66,65.6,Alto
2015,1,2015-01-01,Sudeste,MG,Pampa,16,27.3,46.7,6.19,0.44,87.2,Médio
2015,1,2015-01-01,Sudeste,ES,Pantanal,29,30.0,88.1,6.73,0.4,76.8,Médio
2015,1,2015-01-01,Sul,PR,Pampa,3,28.3,98.4,1.95,0.13,97.6,Baixo
2015,1,2015-01-01,Sul,SC,Mata Atlântica,18,27.4,47.6,3.32,0.38,85.6,Médio
2015,1,2015-01-01,Sul,RS,Pantanal,25,30.6,38.4,5.47,0.34,80.0,Médio
2015,2,2015-02-01,Norte,AM,Amazônia,21,29.7,21.1,5.46,0.48,83.2,Médio
2015,2,2015-02-01,Norte,PA,Mata Atlântica,7,25.5,64.1,4.2,0.15,94.4,Baixo
2015,2,2015-02-01,Norte,RO,Mata Atlântica,21,30.3,46.9,12.63,0.5,83.2,Médio
2015,2,2015-02-01,Norte,TO,Pantanal,13,29.7,103.0,9.04,0.18,89.6,Médio
2015,2,2015-02-01,Nordeste,BA,Pampa,1,29.7,119.6,0.55,0.02,99.2,Baixo
2015,2,2015-02-01,Nordeste,PE,Caatinga,7,28.5,108.4,4.82,0.22,94.4,Baixo
2015,2,2015-02-01,Nordeste,CE,Pantanal,22,27.1,37.2,11.38,0.29,82.4,Médio
2015,2,2015-02-01,Nordeste,MA,Pampa,0,27.4,120.9,0.0,0.1,100.0,Baixo
2015,2,2015-02-01,Nordeste,PB,Cerrado,0,29.5,49.6,0.0,0.12,100.0,Baixo
2015,2,2015-02-01,Centro-Oeste,DF,Caatinga,9,30.8,27.0,3.55,0.3,92.8,Baixo
2015,2,2015-02-01,Centro-Oeste,GO,Caatinga,5,26.2,79.6,1.69,0.27,96.0,Baixo
2015,2,2015-02-01,Centro-Oeste,MT,Cerrado,36,26.3,25.2,4.98,0.6,71.2,Alto
2015,2,2015-02-01,Centro-Oeste,MS,Amazônia,28,27.7,96.2,5.37,0.44,77.6,Médio
2015,2,2015-02-01,Sudeste,SP,Cerrado,22,29.7,67.8,9.03,0.26,82.4,Médio
2015,2,2015-02-01,Sudeste,RJ,Cerrado,26,28.7,101.5,17.93,0.38,79.2,Médio
2015,2,2015-02-01,Sudeste,MG,Mata Atlântica,14,30.1,106.6,3.48,0.53,88.8,Médio
2015,2,2015-02-01,Sudeste,ES,Pampa,5,29.4,163.1,3.41,0.17,96.0,Baixo
2015,2,2015-02-01,Sul,PR,Pampa,13,29.3,60.7,6.16,0.44,89.6,Médio
2015,2,2015-02-01,Sul,SC,Cerrado,22,29.8,25.4,14.36,0.39,82.4,Médio
2015,2,2015-02-01,Sul,RS,Amazônia,5,26.4,105.2,1.34,0.07,96.0,Baixo
2015,3,2015-03-01,Norte,AM,Mata Atlântica,7,32.1,11.9,2.8,0.34,94.4,Baixo
2015,3,2015-03-01,Norte,PA,Pampa,15,29.0,64.5,8.47,0.32,88.0,Médio
2015,3,2015-03-01,Norte,RO,Caatinga,18,26.1,17.3,8.94,0.49,85.6,Médio
2015,3,2015-03-01,Norte,TO,Cerrado,29,32.0,10.4,4.3,0.53,76.8,Médio
2015,3,2015-03-01,Nordeste,BA,Amazônia,20,32.0,40.8,4.46,0.3,84.0,Médio
2015,3,2015-03-01,Nordeste,PE,Cerrado,20,27.8,58.0,2.28,0.4,84.0,Médio
2015,3,2015-03-01,Nordeste,CE,Cerrado,32,27.8,15.2,3.37,0.54,74.4,Alto
2015,3,2015-03-01,Nordeste,MA,Mata Atlântica,2,28.9,82.6,1.39,0.11,98.4,Baixo
2015,3,2015-03-01,Nordeste,PB,Caatinga,20,24.6,24.5,4.36,0.4,84.0,Médio
2015,3,2015-03-01,Centro-Oeste,DF,Caatinga,11,27.6,106.4,5.26,0.23,91.2,Médio
2015,3,2015-03-01,Centro-Oeste,GO,Mata Atlântica,15,27.4,85.4,8.58,0.41,88.0,Médio
2015,3,2015-03-01,Centro-Oeste,MT,Pampa,28,31.0,56.4,17.88,0.43,77.6,Médio
2015,3,2015-03-01,Centro-Oeste,MS,Amazônia,49,29.4,3.0,17.75,0.69,60.8,Alto
2015,3,2015-03-01,Sudeste,SP,Cerrado,28,30.0,72.5,3.44,0.37,77.6,Médio
2015,3,2015-03-01,Sudeste,RJ,Cerrado,20,28.7,80.3,6.47,0.49,84.0,Médio
2015,3,2015-03-01,Sudeste,MG,Caatinga,11,29.4,28.6,7.43,0.4,91.2,Médio
2015,3,2015-03-01,Sudeste,ES,Mata Atlântica,5,27.8,77.1,3.3,0.17,96.0,Baixo
2015,3,2015-03-01,Sul,PR,Caatinga,7,31.9,100.1,2.04,0.22,94.4,Baixo
2015,3,2015-03-01,Sul,SC,Amazônia,25,28.2,26.5,10.72,0.36,80.0,Médio
2015,3,2015-03-01,Sul,RS,Amazônia,10,31.3,95.7,5.85,0.17,92.0,Médio
2015,4,2015-04-01,Norte,AM,Pampa,7,31.7,34.3,1.8,0.33,94.4,Baixo
2015,4,2015-04-01,Norte,PA,Amazônia,22,29.8,106.7,15.15,0.35,82.4,Médio
2015,4,2015-04-01,Norte,RO,Pantanal,42,32.0,0.0,18.13,0.67,66.4,Alto
2015,4,2015-04-01,Norte,TO,Amazônia,0,29.1,83.8,0.0,0.0,100.0,Baixo
2015,4,2015-04-01,Nordeste,BA,Caatinga,16,31.9,88.2,1.89,0.26,87.2,Médio
2015,4,2015-04-01,Nordeste,PE,Amazônia,12,27.5,104.5,5.12,0.33,90.4,Médio
2015,4,2015-04-01,Nordeste,CE,Amazônia,11,28.2,39.8,6.02,0.22,91.2,Médio
2015,4,2015-04-01,Nordeste,MA,Caatinga,5,30.4,112.9,1.67,0.17,96.0,Baixo
2015,4,2015-04-01,Nordeste,PB,Pantanal,11,29.1,70.2,6.87,0.19,91.2,Médio
2015,4,2015-04-01,Centro-Oeste,DF,Pantanal,21,28.5,84.2,2.69,0.41,83.2,Médio
2015,4,2015-04-01,Centro-Oeste,GO,Mata Atlântica,31,32.3,84.3,11.2,0.71,75.2,Alto
2015,4,2015-04-01,Centro-Oeste,MT,Cerrado,13,25.9,134.9,5.69,0.15,89.6,Médio
2015,4,2015-04-01,Centro-Oeste,MS,Amazônia,21,27.0,95.0,7.64,0.37,83.2,Médio
2015,4,2015-04-01,Sudeste,SP,Mata Atlântica,11,32.6,81.8,4.83,0.31,91.2,Médio
2015,4,2015-04-01,Sudeste,RJ,Amazônia,19,29.2,104.9,8.18,0.23,84.8,Médio
2015,4,2015-04-01,Sudeste,MG,Caatinga,11,29.5,36.1,5.63,0.35,91.2,Médio
2015,4,2015-04-01,Sudeste,ES,Amazônia,12,33.6,46.2,1.89,0.23,90.4,Médio
2015,4,2015-04-01,Sul,PR,Mata Atlântica,17,30.6,44.1,9.42,0.59,86.4,Médio
2015,4,2015-04-01,Sul,SC,Cerrado,21,29.4,62.5,13.78,0.37,83.2,Médio
2015,4,2015-04-01,Sul,RS,Pampa,7,29.9,73.5,1.32,0.24,94.4,Baixo
2015,5,2015-05-01,Norte,AM,Pantanal,21,30.1,80.2,8.27,0.31,83.2,Médio
2015,5,2015-05-01,Norte,PA,Amazônia,16,27.6,61.0,2.31,0.19,87.2,Médio
2015,5,2015-05-01,Norte,RO,Caatinga,16,25.0,63.2,4.85,0.31,87.2,Médio
2015,5,2015-05-01,Norte,TO,Cerrado,22,28.0,0.0,3.36,0.4,82.4,Médio
2015,5,2015-05-01,Nordeste,BA,Amazônia,22,26.4,29.8,3.03,0.46,82.4,Médio
2015,5,2015-05-01,Nordeste,PE,Caatinga,15,29.4,43.7,1.8,0.28,88.0,Médio
2015,5,2015-05-01,Nordeste,CE,Pantanal,16,28.3,43.0,4.97,0.27,87.2,Médio
2015,5,2015-05-01,Nordeste,MA,Cerrado,41,26.4,46.5,22.44,0.58,67.2,Alto
2015,5,2015-05-01,Nordeste,PB,Caatinga,6,30.8,89.7,0.89,0.14,95.2,Baixo
2015,5,2015-05-01,Centro-Oeste,DF,Pampa,13,27.5,41.1,3.16,0.35,89.6,Médio
2015,5,2015-05-01,Centro-Oeste,GO,Cerrado,43,27.8,25.9,15.51,0.51,65.6,Alto
2015,5,2015-05-01,Centro-Oeste,MT,Amazônia,6,26.7,92.4,0.7,0.13,95.2,Baixo
2015,5,2015-05-01,Centro-Oeste,MS,Pantanal,31,26.7,0.0,12.42,0.6,75.2,Alto
2015,5,2015-05-01,Sudeste,SP,Caatinga,17,28.6,31.9,4.47,0.41,86.4,Médio
2015,5,2015-05-01,Sudeste,RJ,Amazônia,37,30.3,0.0,13.42,0.57,70.4,Alto
2015,5,2015-05-01,Sudeste,MG,Pampa,21,30.4,50.2,11.25,0.57,83.2,Médio
2015,5,2015-05-01,Sudeste,ES,Pantanal,24,29.7,8.5,6.22,0.41,80.8,Médio
2015,5,2015-05-01,Sul,PR,Cerrado,49,28.1,17.6,23.26,0.57,60.8,Alto
2015,5,2015-05-01,Sul,SC,Pantanal,18,29.2,78.7,2.63,0.25,85.6,Médio
2015,5,2015-05-01,Sul,RS,Cerrado,7,30.2,56.9,3.44,0.1,94.4,Baixo
2015,6,2015-06-01,Norte,AM,Pantanal,3,29.3,24.7,2.02,0.05,97.6,Baixo
2015,6,2015-06-01,Norte,PA,Amazônia,32,31.9,104.6,3.95,0.47,74.4,Alto
2015,6,2015-06-01,Norte,RO,Mata Atlântica,15,27.9,23.9,5.94,0.46,88.0,Médio
2015,6,2015-06-01,Norte,TO,Pantanal,30,28.1,79.6,10.24,0.53,76.0,Alto
2015,6,2015-06-01,Nordeste,BA,Cerrado,32,28.6,17.4,3.39,0.36,74.4,Alto
2015,6,2015-06-01,Nordeste,PE,Cerrado,17,28.9,106.3,3.96,0.25,86.4,Médio
2015,6,2015-06-01,Nordeste,CE,Pantanal,24,26.9,96.3,13.28,0.35,80.8,Médio
2015,6,2015-06-01,Nordeste,MA,Pampa,15,29.0,66.4,9.12,0.55,88.0,Médio
2015,6,2015-06-01,Nordeste,PB,Caatinga,6,30.7,62.0,1.83,0.19,95.2,Baixo
2015,6,2015-06-01,Centro-Oeste,DF,Caatinga,11,32.5,107.6,3.22,0.27,91.2,Médio
2015,6,2015-06-01,Centro-Oeste,GO,Pampa,31,31.1,18.6,19.5,0.66,75.2,Alto
2015,6,2015-06-01,Centro-Oeste,MT,Caatinga,21,32.7,66.8,12.74,0.46,83.2,Médio
2015,6,2015-06-01,Centro-Oeste,MS,Pampa,18,32.6,19.2,7.33,0.59,85.6,Médio
2015,6,2015-06-01,Sudeste,SP,Pantanal,5,30.3,82.4,2.07,0.08,96.0,Baixo
2015,6,2015-06-01,Sudeste,RJ,Amazônia,31,29.8,56.3,6.71,0.43,75.2,Alto
2015,6,2015-06-01,Sudeste,MG,Pampa,22,28.0,99.5,10.33,0.37,82.4,Médio
2015,6,2015-06-01,Sudeste,ES,Pampa,19,30.1,0.0,5.64,0.63,84.8,Médio
2015,6,2015-06-01,Sul,PR,Pampa,18,27.6,8.2,10.04,0.29,85.6,Médio
2015,6,2015-06-01,Sul,SC,Pampa,1,29.5,110.2,0.13,0.07,99.2,Baixo
2015,6,2015-06-01,Sul,RS,Pampa,9,29.4,53.4,1.72,0.26,92.8,Baixo
2015,7,2015-07-01,Norte,AM,Pampa,17,27.8,0.0,6.83,0.46,86.4,Médio
2015,7,2015-07-01,Norte,PA,Pampa,19,31.6,53.6,5.84,0.66,84.8,Médio
2015,7,2015-07-01,Norte,RO,Amazônia,35,28.2,70.5,6.25,0.47,72.0,Alto
2015,7,2015-07-01,Norte,TO,Cerrado,30,27.8,18.0,6.96,0.54,76.0,Alto
2015,7,2015-07-01,Nordeste,BA,Mata Atlântica,16,30.6,91.0,5.2,0.55,87.2,Médio
2015,7,2015-07-01,Nordeste,PE,Pantanal,52,29.1,51.6,32.36,0.63,58.4,Alto
2015,7,2015-07-01,Nordeste,CE,Pantanal,45,30.3,45.0,5.83,0.75,64.0,Alto
2015,7,2015-07-01,Nordeste,MA,Amazônia,28,30.8,19.9,7.05,0.45,77.6,Médio
2015,7,2015-07-01,Nordeste,PB,Caatinga,20,27.3,13.1,2.81,0.59,84.0,Médio
2015,7,2015-07-01,Centro-Oeste,DF,Pantanal,54,31.6,28.6,22.15,0.72,56.8,Alto
2015,7,2015-07-01,Centro-Oeste,GO,Cerrado,63,30.0,90.5,19.41,0.77,49.6,Alto
2015,7,2015-07-01,Centro-Oeste,MT,Caatinga,21,28.5,31.1,4.82,0.53,83.2,Médio
2015,7,2015-07-01,Centro-Oeste,MS,Cerrado,49,31.5,58.2,25.17,0.67,60.8,Alto
2015,7,2015-07-01,Sudeste,SP,Caatinga,18,31.9,0.0,5.77,0.67,85.6,Médio
2015,7,2015-07-01,Sudeste,RJ,Pantanal,57,31.4,67.7,36.87,0.64,54.4,Alto
2015,7,2015-07-01,Sudeste,MG,Mata Atlântica,23,34.7,11.1,14.91,0.74,81.6,Médio
2015,7,2015-07-01,Sudeste,ES,Pantanal,47,30.2,66.2,4.78,0.81,62.4,Alto
2015,7,2015-07-01,Sul,PR,Mata Atlântica,16,31.3,60.8,2.18,0.42,87.2,Médio
2015,7,2015-07-01,Sul,SC,Pampa,29,29.1,0.0,12.02,0.73,76.8,Médio
2015,7,2015-07-01,Sul,RS,Amazônia,43,34.4,0.0,27.99,0.66,65.6,Alto
2015,8,2015-08-01,Norte,AM,Pampa,11,30.6,88.1,1.11,0.41,91.2,Médio
2015,8,2015-08-01,Norte,PA,Caatinga,27,30.2,18.1,15.61,0.74,78.4,Médio
2015,8,2015-08-01,Norte,RO,Pantanal,43,27.4,81.4,23.27,0.82,65.6,Alto
2015,8,2015-08-01,Norte,TO,Amazônia,15,28.5,1.1,6.06,0.39,88.0,Médio
2015,8,2015-08-01,Nordeste,BA,Mata Atlântica,36,32.0,3.1,22.4,0.91,71.2,Alto
2015,8,2015-08-01,Nordeste,PE,Mata Atlântica,12,31.6,0.0,7.35,0.61,90.4,Médio
2015,8,2015-08-01,Nordeste,CE,Caatinga,29,28.7,29.5,8.79,0.69,76.8,Médio
2015,8,2015-08-01,Nordeste,MA,Pampa,30,30.2,0.0,4.24,0.8,76.0,Alto
2015,8,2015-08-01,Nordeste,PB,Caatinga,19,31.0,67.8,11.74,0.63,84.8,Médio
2015,8,2015-08-01,Centro-Oeste,DF,Cerrado,54,29.0,36.3,17.4,0.72,56.8,Alto
2015,8,2015-08-01,Centro-Oeste,GO,Mata Atlântica,16,33.4,89.0,8.64,0.69,87.2,Médio
2015,8,2015-08-01,Centro-Oeste,MT,Amazônia,51,29.4,28.4,24.06,1.0,59.2,Alto
2015,8,2015-08-01,Centro-Oeste,MS,Mata Atlântica,14,29.8,91.0,9.38,0.64,88.8,Médio
2015,8,2015-08-01,Sudeste,SP,Cerrado,36,30.9,72.1,8.51,0.65,71.2,Alto
2015,8,2015-08-01,Sudeste,RJ,Caatinga,22,29.6,22.8,6.33,0.67,82.4,Médio
2015,8,2015-08-01,Sudeste,MG,Amazônia,38,28.8,103.9,21.3,0.47,69.6,Alto
2015,8,2015-08-01,Sudeste,ES,Pantanal,23,29.6,29.1,8.71,0.54,81.6,Médio
2015,8,2015-08-01,Sul,PR,Amazônia,40,26.7,12.9,10.99,0.59,68.0,Alto
2015,8,2015-08-01,Sul,SC,Cerrado,50,33.6,0.0,9.36,0.76,60.0,Alto
